"City","Location","Building","Floor","Room","Department"
"","VIHA-Sat Lab-Satellite Laboratory-Main Building","Trillium LOdge","","111 - Dictation","Communicable Disease Svc"
"","VIHA-Sat Lab-Satellite Laboratory-Main Building-1st Floor","Unit #13","","1111 - Chemistry","Communical Disease"
"","VIHA-TLLTC-Trillium Lodge","Unit ?","","1113","Communications & PR"
"","VIHA-TLLTC-Trillium Lodge-Main Building-1st Floor","Unit 22","","1114-ACV Chemistry Technical","Community & Specialty Services"
"","","Unit 25","","1117 - Pathologist","Community Access"
"","","Unit 29","","1119 - Pathologist","Community Access - Central Intake"
"","","unit 29","","112","Community Access Admin"
"","","Unit 39","","112 - Desk 1","Community Capacity"
"","","Unit 40","","112 - Desk 2","Community Care"
"","","VIHA-NRGH","","112 - Desk 3","Community Care Facilities Licensing"
"","","Waddington Road","","112 - Desk 4","Community Care Licensing (CCFL)"
"","","WB","","112 - Desk 5","Community Health"
"","","Wentworth Street-Main Building-3rd Floor","","1120","Community Health Service"
"","","WFH","","1120 - Laboratory","Community Health Services"
"","","","","1120 - Pathology Overflow","Community Health Services (CHS)"
"","","","","1121 - Pathologist","Community Home Support"
"","","","","1123","Community Resource Team"
"","","","","1124","Community Services Admin"
"","","","","1124 - Section Head","Community Support Team"
"","","","","1128","Comox Valley Hospital"
"","","","","1128A","Comox Valley Hskpng/Linen Srv"
"","","","","1128B","Comox Valley/CR MHSU"
"","","","","1128C","Complex Care Housing"
"","","","","1128D","Contact Centre - HIM"
"","","","","1128E","Contract Policy & Standards"
"","","","","1128F","Coordinator Admin Services � MCC PA Westcoast Admin Support"
"","","","","1128G","Corp Bus Solutions"
"","","","","1128H","Corporate Business Solutions"
"","","","","1129","COS Clinical Imp & Informatics"
"","","","","113","COS EVP"
"","","","","1130","COV HHR Sustainability"
"","","","","1132 - Admissions","COV HR Information Systems Adm"
"","","","","1132 - Clerical","COV Logistics Admin"
"","","","","1137A - Ultrasound Tech Room","COV Respectful Workplace"
"","","","","1137B - Ultrasound Tech area - Section Head","COV Revenue Billing"
"","","","","1138 - Reading Room","COV Workforce Optimization"
"","","","","1139 - Booking Office","COV-Client Support Team B1"
"","","","","1139 - Booking office","COVID Call Centre Registra"
"","","","","1139 - Booking Office (G237 for temp storage)","COVID Public Health"
"","","","","1139 - Heather Mayhew","COVID Victoria Acute Hospi Adm"
"","","","","1139-WFH","COVID19 Comm Care Fac Lice"
"","","","","113A","Cowichan Health & Care"
"","","","","114","Cowichan Lodge Seniors TMH"
"","","","","114 - Registered Dietician","Critical Care"
