"SlNo","Asset Tag"
"257635","HSS-8093773"
"249544","HSS-8091378"
"147530","HSS-8064828"
"54583","HSS-8074725"
"288248","HSS-8100305"
"312597","HSS-8099722"
"240320","HSS-8086578"
"11087","HSS-8081886"
"31718","HSS-8074770"
"248387","HSS-8090188"
"249673","HSS-8091372"
"267763","HSS-1110867"
"230758","HSS-8085578"
"2243","HSS-1988133"
"40398","HSS-8066619"
"55416","HSS-8074731"
"189151","HSS-8064836"
"16628","HSS-8068512"
"248092","HSS-8090197"
"249686","HSS-8091379"
"248085","HSS-8090189"
"248204","HSS-8090183"
"249782","HSS-8091865"
"63688","HSS-8064829"
"73647","HSS-8074733"
"288486","HSS-8099200"
"248091","HSS-8090178"
"105572","HSS-8074876"
"260668","HSS-8092080"
"288231","HSS-8099199"
"248386","HSS-1903204"
"91161","HSS-1043021"
"232831","HSS-8084090"
"225680","HSS-8082665"
"162015","HSS-1041112"
"140257","HSS-8061969"
"126536","HSS-1043041"
"122191","HSS-8026053"
"788","HSS-8060191"
"287612","HSS-8098615"
"229431","HSS-8084093"
"230120","HSS-8084013"
"120343","HSS-8061929"
"50139","HSS-8067140"
"281917","HSS-8097136"
"235796","HSS-8088232"
"225100","HSS-8084071"
"139400","HSS-1039393"
"287509","HSS-8098208"
"97912","HSS-8061004"
"104867","HSS-8061974"
"257847","HSS-8093618"
"234724","HSS-8086614"
"149829","HSS-8075757"
"28649","HSS-8061958"
"193402","HSS-1043701"
"183185","HSS-8081049"
"180771","HSS-1034873"
"142682","HSS-8081039"
"230978","HSS-8083696"
"173518","HSS-8081044"
"203892","HSS-1036961"
"240570","HSS-8086604"
"185651","HSS-8081036"
"141024","HSS-8061957"
"63710","HSS-8081050"
"63711","HSS-8081048"
"95412","HSS-8081043"
"36790","HSS-8081046"
"75500","HSS-8061945"
"136289","HSS-8081035"
"17555","HSS-8081037"
"2311","HSS-8081042"
"229122","HSS-8084106"
"49088","HSS-8081040"
"4698","HSS-8081047"
"53109","HSS-8081045"
"24723","HSS-8081032"
"85697","HSS-8081038"
"142585","HSS-8061959"
"143490","HSS-8081033"
"162705","HSS-8061956"
"205040","HSS-8081034"
"240303","HSS-8086995"
"228534","HSS-8082645"
"225304","HSS-8082614"
"232852","HSS-8084104"
"230957","HSS-8084066"
"162061","HSS-8079893"
"225302","HSS-8082615"
"225300","HSS-8082610"
"260317","HSS-8091988"
"232850","HSS-8084102"
"232834","HSS-8084103"
"232866","HSS-8084083"
"233119","HSS-8096935"
"240293","HSS-8088653"
"230813","HSS-8084064"
"231076","HSS-8083703"
"230970","HSS-8084086"
"230900","HSS-8084085"
"230058","HSS-8082647"
"225307","HSS-8082613"
"231125","HSS-8084112"
"283081","HSS-8099541"
"240300","HSS-8086965"
"283024","HSS-8099369"
"283114","HSS-8099520"
"231127","HSS-8083711"
"283034","HSS-8099761"
"230906","HSS-8088665"
"240294","HSS-8086993"
"283089","HSS-8099335"
"95939","HSS-8060927"
"288082","HSS-8099327"
